start_timestamp,end_timestamp,test_name,pings_count,ssh_check_count,end_status,attempt_number,qos_settings
2024-01-01 10:01:00,2024-01-01 10:13:18,119SEC_765B_20PUB_24SUB_BE_UC_3DUR_692LC,2,0,timeout,3,"{'duration_secs': 119, 'datalen_bytes': 765, 'pub_count': 20, 'sub_count': 24, 'use_reliable': False, 'use_multicast': False, 'durability_level': 3, 'latency_count': 692}"
2024-01-01 10:01:43,2024-01-01 10:17:18,81SEC_147B_13PUB_26SUB_BE_MC_2DUR_791LC,3,3,timeout,1,"{'duration_secs': 81, 'datalen_bytes': 147, 'pub_count': 13, 'sub_count': 26, 'use_reliable': False, 'use_multicast': True, 'durability_level': 2, 'latency_count': 791}"
2024-01-01 10:00:42,2024-01-01 10:19:55,87SEC_307B_15PUB_50SUB_BE_MC_3DUR_408LC,1,1,success,2,"{'duration_secs': 87, 'datalen_bytes': 307, 'pub_count': 15, 'sub_count': 50, 'use_reliable': False, 'use_multicast': True, 'durability_level': 3, 'latency_count': 408}"
2024-01-01 10:08:37,2024-01-01 10:14:46,103SEC_829B_34PUB_21SUB_BE_UC_0DUR_919LC,2,3,fail,0,"{'duration_secs': 103, 'datalen_bytes': 829, 'pub_count': 34, 'sub_count': 21, 'use_reliable': False, 'use_multicast': False, 'durability_level': 0, 'latency_count': 919}"
2024-01-01 10:01:01,2024-01-01 10:17:53,98SEC_972B_36PUB_40SUB_REL_MC_1DUR_885LC,0,1,timeout,3,"{'duration_secs': 98, 'datalen_bytes': 972, 'pub_count': 36, 'sub_count': 40, 'use_reliable': True, 'use_multicast': True, 'durability_level': 1, 'latency_count': 885}"
2024-01-01 10:03:17,2024-01-01 10:17:12,65SEC_992B_47PUB_40SUB_REL_UC_3DUR_406LC,0,3,timeout,1,"{'duration_secs': 65, 'datalen_bytes': 992, 'pub_count': 47, 'sub_count': 40, 'use_reliable': True, 'use_multicast': False, 'durability_level': 3, 'latency_count': 406}"
2024-01-01 10:02:25,2024-01-01 10:13:23,104SEC_205B_30PUB_43SUB_REL_UC_2DUR_453LC,1,2,timeout,2,"{'duration_secs': 104, 'datalen_bytes': 205, 'pub_count': 30, 'sub_count': 43, 'use_reliable': True, 'use_multicast': False, 'durability_level': 2, 'latency_count': 453}"
2024-01-01 10:10:00,2024-01-01 10:13:00,96SEC_393B_26PUB_50SUB_BE_MC_1DUR_444LC,0,3,success,0,"{'duration_secs': 96, 'datalen_bytes': 393, 'pub_count': 26, 'sub_count': 50, 'use_reliable': False, 'use_multicast': True, 'durability_level': 1, 'latency_count': 444}"
2024-01-01 10:09:09,2024-01-01 10:13:40,110SEC_170B_23PUB_38SUB_REL_UC_3DUR_375LC,2,1,fail,0,"{'duration_secs': 110, 'datalen_bytes': 170, 'pub_count': 23, 'sub_count': 38, 'use_reliable': True, 'use_multicast': False, 'durability_level': 3, 'latency_count': 375}"
2024-01-01 10:03:34,2024-01-01 10:19:42,69SEC_532B_37PUB_21SUB_BE_MC_3DUR_562LC,2,0,fail,1,"{'duration_secs': 69, 'datalen_bytes': 532, 'pub_count': 37, 'sub_count': 21, 'use_reliable': False, 'use_multicast': True, 'durability_level': 3, 'latency_count': 562}"
2024-01-01 10:08:13,2024-01-01 10:14:32,102SEC_822B_16PUB_22SUB_REL_MC_2DUR_966LC,1,3,success,1,"{'duration_secs': 102, 'datalen_bytes': 822, 'pub_count': 16, 'sub_count': 22, 'use_reliable': True, 'use_multicast': True, 'durability_level': 2, 'latency_count': 966}"
2024-01-01 10:04:35,2024-01-01 10:14:47,104SEC_240B_42PUB_46SUB_REL_UC_3DUR_726LC,2,0,success,0,"{'duration_secs': 104, 'datalen_bytes': 240, 'pub_count': 42, 'sub_count': 46, 'use_reliable': True, 'use_multicast': False, 'durability_level': 3, 'latency_count': 726}"
2024-01-01 10:07:50,2024-01-01 10:18:15,110SEC_879B_20PUB_11SUB_REL_MC_0DUR_437LC,3,3,fail,3,"{'duration_secs': 110, 'datalen_bytes': 879, 'pub_count': 20, 'sub_count': 11, 'use_reliable': True, 'use_multicast': True, 'durability_level': 0, 'latency_count': 437}"
2024-01-01 10:02:39,2024-01-01 10:14:50,119SEC_968B_34PUB_49SUB_REL_MC_0DUR_951LC,1,1,fail,0,"{'duration_secs': 119, 'datalen_bytes': 968, 'pub_count': 34, 'sub_count': 49, 'use_reliable': True, 'use_multicast': True, 'durability_level': 0, 'latency_count': 951}"
2024-01-01 10:07:15,2024-01-01 10:16:08,86SEC_117B_33PUB_41SUB_REL_UC_3DUR_547LC,1,0,fail,1,"{'duration_secs': 86, 'datalen_bytes': 117, 'pub_count': 33, 'sub_count': 41, 'use_reliable': True, 'use_multicast': False, 'durability_level': 3, 'latency_count': 547}"
2024-01-01 10:03:11,2024-01-01 10:19:38,120SEC_106B_46PUB_24SUB_REL_UC_0DUR_829LC,3,1,fail,3,"{'duration_secs': 120, 'datalen_bytes': 106, 'pub_count': 46, 'sub_count': 24, 'use_reliable': True, 'use_multicast': False, 'durability_level': 0, 'latency_count': 829}"
2024-01-01 10:05:15,2024-01-01 10:19:58,71SEC_872B_21PUB_42SUB_BE_MC_3DUR_586LC,1,2,timeout,1,"{'duration_secs': 71, 'datalen_bytes': 872, 'pub_count': 21, 'sub_count': 42, 'use_reliable': False, 'use_multicast': True, 'durability_level': 3, 'latency_count': 586}"
2024-01-01 10:06:06,2024-01-01 10:17:32,101SEC_804B_34PUB_27SUB_REL_UC_3DUR_784LC,1,3,fail,1,"{'duration_secs': 101, 'datalen_bytes': 804, 'pub_count': 34, 'sub_count': 27, 'use_reliable': True, 'use_multicast': False, 'durability_level': 3, 'latency_count': 784}"
2024-01-01 10:06:48,2024-01-01 10:15:52,110SEC_656B_12PUB_20SUB_REL_MC_2DUR_636LC,2,3,timeout,0,"{'duration_secs': 110, 'datalen_bytes': 656, 'pub_count': 12, 'sub_count': 20, 'use_reliable': True, 'use_multicast': True, 'durability_level': 2, 'latency_count': 636}"
2024-01-01 10:02:40,2024-01-01 10:19:12,64SEC_612B_28PUB_47SUB_BE_UC_0DUR_577LC,3,1,success,1,"{'duration_secs': 64, 'datalen_bytes': 612, 'pub_count': 28, 'sub_count': 47, 'use_reliable': False, 'use_multicast': False, 'durability_level': 0, 'latency_count': 577}"
2024-01-01 10:05:56,2024-01-01 10:15:32,75SEC_840B_49PUB_38SUB_REL_MC_0DUR_484LC,3,1,timeout,3,"{'duration_secs': 75, 'datalen_bytes': 840, 'pub_count': 49, 'sub_count': 38, 'use_reliable': True, 'use_multicast': True, 'durability_level': 0, 'latency_count': 484}"
2024-01-01 10:05:55,2024-01-01 10:13:01,75SEC_183B_38PUB_15SUB_BE_UC_1DUR_388LC,1,2,timeout,1,"{'duration_secs': 75, 'datalen_bytes': 183, 'pub_count': 38, 'sub_count': 15, 'use_reliable': False, 'use_multicast': False, 'durability_level': 1, 'latency_count': 388}"
2024-01-01 10:01:13,2024-01-01 10:14:53,111SEC_534B_15PUB_19SUB_REL_MC_3DUR_578LC,1,3,fail,0,"{'duration_secs': 111, 'datalen_bytes': 534, 'pub_count': 15, 'sub_count': 19, 'use_reliable': True, 'use_multicast': True, 'durability_level': 3, 'latency_count': 578}"
2024-01-01 10:07:49,2024-01-01 10:16:17,108SEC_198B_44PUB_27SUB_REL_MC_0DUR_796LC,1,0,success,1,"{'duration_secs': 108, 'datalen_bytes': 198, 'pub_count': 44, 'sub_count': 27, 'use_reliable': True, 'use_multicast': True, 'durability_level': 0, 'latency_count': 796}"
2024-01-01 10:00:00,2024-01-01 10:19:14,109SEC_643B_10PUB_15SUB_REL_MC_3DUR_270LC,1,2,timeout,1,"{'duration_secs': 109, 'datalen_bytes': 643, 'pub_count': 10, 'sub_count': 15, 'use_reliable': True, 'use_multicast': True, 'durability_level': 3, 'latency_count': 270}"
2024-01-01 10:03:30,2024-01-01 10:17:43,63SEC_723B_47PUB_40SUB_REL_MC_1DUR_909LC,2,3,timeout,3,"{'duration_secs': 63, 'datalen_bytes': 723, 'pub_count': 47, 'sub_count': 40, 'use_reliable': True, 'use_multicast': True, 'durability_level': 1, 'latency_count': 909}"
2024-01-01 10:05:13,2024-01-01 10:19:56,118SEC_790B_17PUB_20SUB_BE_MC_0DUR_687LC,0,1,fail,0,"{'duration_secs': 118, 'datalen_bytes': 790, 'pub_count': 17, 'sub_count': 20, 'use_reliable': False, 'use_multicast': True, 'durability_level': 0, 'latency_count': 687}"
2024-01-01 10:03:41,2024-01-01 10:10:51,86SEC_144B_46PUB_50SUB_REL_MC_2DUR_102LC,1,1,timeout,2,"{'duration_secs': 86, 'datalen_bytes': 144, 'pub_count': 46, 'sub_count': 50, 'use_reliable': True, 'use_multicast': True, 'durability_level': 2, 'latency_count': 102}"
2024-01-01 10:08:00,2024-01-01 10:14:01,79SEC_900B_26PUB_26SUB_REL_MC_3DUR_896LC,2,2,timeout,3,"{'duration_secs': 79, 'datalen_bytes': 900, 'pub_count': 26, 'sub_count': 26, 'use_reliable': True, 'use_multicast': True, 'durability_level': 3, 'latency_count': 896}"
2024-01-01 10:09:06,2024-01-01 10:18:57,72SEC_352B_22PUB_30SUB_REL_UC_3DUR_613LC,2,3,fail,1,"{'duration_secs': 72, 'datalen_bytes': 352, 'pub_count': 22, 'sub_count': 30, 'use_reliable': True, 'use_multicast': False, 'durability_level': 3, 'latency_count': 613}"
2024-01-01 10:06:11,2024-01-01 10:10:58,110SEC_476B_47PUB_16SUB_REL_MC_0DUR_488LC,0,3,success,3,"{'duration_secs': 110, 'datalen_bytes': 476, 'pub_count': 47, 'sub_count': 16, 'use_reliable': True, 'use_multicast': True, 'durability_level': 0, 'latency_count': 488}"
2024-01-01 10:09:47,2024-01-01 10:18:16,90SEC_486B_43PUB_36SUB_REL_MC_1DUR_405LC,2,2,fail,3,"{'duration_secs': 90, 'datalen_bytes': 486, 'pub_count': 43, 'sub_count': 36, 'use_reliable': True, 'use_multicast': True, 'durability_level': 1, 'latency_count': 405}"
2024-01-01 10:02:10,2024-01-01 10:17:43,66SEC_142B_33PUB_17SUB_BE_UC_2DUR_104LC,3,2,fail,1,"{'duration_secs': 66, 'datalen_bytes': 142, 'pub_count': 33, 'sub_count': 17, 'use_reliable': False, 'use_multicast': False, 'durability_level': 2, 'latency_count': 104}"
2024-01-01 10:04:46,2024-01-01 10:14:08,68SEC_344B_33PUB_26SUB_BE_MC_1DUR_628LC,0,3,success,2,"{'duration_secs': 68, 'datalen_bytes': 344, 'pub_count': 33, 'sub_count': 26, 'use_reliable': False, 'use_multicast': True, 'durability_level': 1, 'latency_count': 628}"
2024-01-01 10:05:31,2024-01-01 10:18:41,119SEC_119B_41PUB_29SUB_REL_UC_2DUR_438LC,0,3,timeout,2,"{'duration_secs': 119, 'datalen_bytes': 119, 'pub_count': 41, 'sub_count': 29, 'use_reliable': True, 'use_multicast': False, 'durability_level': 2, 'latency_count': 438}"
2024-01-01 10:06:32,2024-01-01 10:10:06,87SEC_354B_45PUB_25SUB_BE_UC_0DUR_244LC,3,0,timeout,0,"{'duration_secs': 87, 'datalen_bytes': 354, 'pub_count': 45, 'sub_count': 25, 'use_reliable': False, 'use_multicast': False, 'durability_level': 0, 'latency_count': 244}"
2024-01-01 10:05:59,2024-01-01 10:10:20,107SEC_947B_27PUB_31SUB_BE_UC_3DUR_524LC,2,1,timeout,3,"{'duration_secs': 107, 'datalen_bytes': 947, 'pub_count': 27, 'sub_count': 31, 'use_reliable': False, 'use_multicast': False, 'durability_level': 3, 'latency_count': 524}"
